location,parameter,value
Del Norte-2178,pm10,31.0
Del Norte-2178,pm10,22.0
Del Norte-2178,pm10,29.0
Del Norte-2178,pm10,30.0
Del Norte-2178,pm10,31.0
Del Norte-2178,pm10,44.0
Del Norte-2178,pm10,67.0
Del Norte-2178,pm10,93.0
Del Norte-2178,pm10,51.0
Del Norte-2178,pm10,41.0
Del Norte-2178,pm10,33.0
Del Norte-2178,pm10,57.0
Del Norte-2178,pm10,49.0
Del Norte-2178,pm10,60.0
Del Norte-2178,pm10,101.0
Del Norte-2178,pm10,121.0
Del Norte-2178,pm10,71.0
Del Norte-2178,pm10,55.0
Del Norte-2178,pm10,42.0
Del Norte-2178,pm10,59.0
Del Norte-2178,pm10,53.0
Del Norte-2178,pm10,26.0
Del Norte-2178,pm25,6.0
Del Norte-2178,pm25,5.9
Del Norte-2178,pm25,7.3
Del Norte-2178,pm25,8.2
Del Norte-2178,pm25,9.2
Del Norte-2178,pm25,10.2
Del Norte-2178,pm25,13.2
Del Norte-2178,pm25,18.5
Del Norte-2178,pm25,11.0
Del Norte-2178,pm25,10.0
Del Norte-2178,pm25,8.7
Del Norte-2178,pm25,11.8
Del Norte-2178,pm25,9.7
Del Norte-2178,pm25,10.0
Del Norte-2178,pm25,12.7
Del Norte-2178,pm25,15.3
Del Norte-2178,pm25,11.5
Del Norte-2178,pm25,9.9
Del Norte-2178,pm25,9.6
Del Norte-2178,pm25,18.9
Del Norte-2178,pm25,15.8
Del Norte-2178,pm25,7.3
Del Norte-2178,no2,0.005
Del Norte-2178,no2,0.004
Del Norte-2178,no2,0.005
Del Norte-2178,no2,0.004
Del Norte-2178,no2,0.008
Del Norte-2178,no2,0.027
Del Norte-2178,no2,0.029
Del Norte-2178,no2,0.022
Del Norte-2178,no2,0.008
Del Norte-2178,no2,0.006
Del Norte-2178,no2,0.003
Del Norte-2178,no2,0.003
Del Norte-2178,no2,0.002
Del Norte-2178,no2,0.003
Del Norte-2178,no2,0.002
Del Norte-2178,no2,0.005
Del Norte-2178,no2,0.003
Del Norte-2178,no2,0.003
Del Norte-2178,no2,0.002
Del Norte-2178,no2,0.003
Del Norte-2178,no2,0.002
Del Norte-2178,no2,0.003
Del Norte-2178,no2,0.002
Del Norte-2178,no2,0.001
Del Norte-2178,co,0.11
Del Norte-2178,co,0.1
Del Norte-2178,co,0.1
Del Norte-2178,co,0.09
Del Norte-2178,co,0.13
Del Norte-2178,co,0.3
Del Norte-2178,co,0.51
Del Norte-2178,co,0.34
Del Norte-2178,co,0.15
Del Norte-2178,co,0.14
Del Norte-2178,co,0.11
Del Norte-2178,co,0.12
Del Norte-2178,co,0.14
Del Norte-2178,co,0.15
Del Norte-2178,co,0.12
Del Norte-2178,co,0.16
Del Norte-2178,co,0.13
Del Norte-2178,co,0.12
Del Norte-2178,co,0.14
Del Norte-2178,co,0.13
Del Norte-2178,co,0.12
Del Norte-2178,co,0.15
Del Norte-2178,co,0.11
Del Norte-2178,co,0.11
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.001
Del Norte-2178,so2,0.001
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,so2,0.0
Del Norte-2178,o3,0.047
Del Norte-2178,o3,0.047
Del Norte-2178,o3,0.043
Del Norte-2178,o3,0.044
Del Norte-2178,o3,0.037
Del Norte-2178,o3,0.015
Del Norte-2178,o3,0.012
Del Norte-2178,o3,0.018
Del Norte-2178,o3,0.036
Del Norte-2178,o3,0.046
Del Norte-2178,o3,0.049
Del Norte-2178,o3,0.049
Del Norte-2178,o3,0.048
Del Norte-2178,o3,0.047
Del Norte-2178,o3,0.047
Del Norte-2178,o3,0.045
Del Norte-2178,o3,0.047
Del Norte-2178,o3,0.046
Del Norte-2178,o3,0.049
Del Norte-2178,o3,0.047
Del Norte-2178,o3,0.048
Del Norte-2178,o3,0.048
Del Norte-2178,o3,0.047
Del Norte-2178,o3,0.048
